"СВОБОДНИ МЕСТА ЗА ТРЕТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА И РАЙОНИ, 
ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2021/ 2022 ГОДИНА ",,,,,,,,
Код,Училище,Код на паралелката,Име на паралелката,Тип,Брой паралелки,На общо основание,Младежи,Девойки
2201078,"78. Средно училище  ""Христо Смирненски"", ГР.БАНКЯ",0463,"Извършване на термални процедури - АЕ, НЕ",професионална,1,14,0,0
2201078,"78. Средно училище  ""Христо Смирненски"", ГР.БАНКЯ",0468,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",профилирана,1,0,0,0
2201400,"Професионална гимназия  по туризъм ""Алеко Константинов"", ГР.БАНКЯ",0344,Организация на хотелиерството -  АЕ,професионална,1,15,0,0
2201400,"Професионална гимназия  по туризъм ""Алеко Константинов"", ГР.БАНКЯ",0355,Производство и обслужване в заведенията за хранене и развлечения - АЕ,професионална,1,20,0,0
2201400,"Професионална гимназия  по туризъм ""Алеко Константинов"", ГР.БАНКЯ",0358,Кетъринг - АЕ,професионална,1,12,0,0
2201400,"Професионална гимназия  по туризъм ""Алеко Константинов"", ГР.БАНКЯ",0362,Производство на кулинарни изделия и напитки - готвач,професионална,1,6,0,0
2202002,"2 Средно училище ""Академик Емилиян Станев "", ГР.СОФИЯ",0947,Природни науки - АЕ интензивно  ИЕ,профилирана,1,4,0,0
2202002,"2 Средно училище ""Академик Емилиян Станев "", ГР.СОФИЯ",0951,Чужди езици - АЕ интензивно  ИЕ,профилирана,1,2,0,0
2202002,"2 Средно училище ""Академик Емилиян Станев "", ГР.СОФИЯ",0957,Хуманитарни науки - АЕ интензивно   ИЕ,профилирана,1,1,0,0
2202002,"2 Средно училище ""Академик Емилиян Станев "", ГР.СОФИЯ",0958,Предприемачески - АЕ интензивно  НЕ,профилирана,1,2,0,0
2202026,"26 Средно училище  ""Йордан Йовков"", ГР.СОФИЯ",0965,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",профилирана,1,8,0,0
2202401,"Професионална гимназия по екология и  биотехнологии ""Проф. д-р Асен Златаров"", ГР.СОФИЯ",0851,"Екология и опазване на околната среда - АЕ, НЕ",професионална,1,9,0,0
2202401,"Професионална гимназия по екология и  биотехнологии ""Проф. д-р Асен Златаров"", ГР.СОФИЯ",0874,"Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ, ",професионална,1,7,0,0
2202401,"Професионална гимназия по екология и  биотехнологии ""Проф. д-р Асен Златаров"", ГР.СОФИЯ",0909,Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ,професионална,1,8,0,0
2202401,"Професионална гимназия по екология и  биотехнологии ""Проф. д-р Асен Златаров"", ГР.СОФИЯ",2591,"Осигуряване на продуктова информация - НЕ (дуална), АЕ",професионална,1,22,0,0
2202401,"Професионална гимназия по екология и  биотехнологии ""Проф. д-р Асен Златаров"", ГР.СОФИЯ",3414,Технология на фармацевтичните и парфюмерийно-козметични продукти - НЕ,професионална,1,17,0,0
2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ"", ГР.СОФИЯ",1771,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",профилирана,1,5,0,0
2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ"", ГР.СОФИЯ",1777,"Природни науки - АЕ интензивно, РЕ",профилирана,1,13,0,0
2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ"", ГР.СОФИЯ",1895,Български танци,професионална,1,12,0,0
2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ"", ГР.СОФИЯ",1904,Графичен дизайн,професионална,1,3,0,0
2204018,"18 Средно училище ""Уилям Гладстон"", ГР.СОФИЯ",0897,"Чужди езици - НЕ интензивно, АЕ",профилирана,1,0,0,0
2204018,"18 Средно училище ""Уилям Гладстон"", ГР.СОФИЯ",0902,"Природни науки - АЕ интензивно, НЕ",профилирана,1,1,0,0
2204018,"18 Средно училище ""Уилям Гладстон"", ГР.СОФИЯ",0905,"Чужди езици - ФЕ интензивно, АЕ",профилирана,1,0,0,0
2204018,"18 Средно училище ""Уилям Гладстон"", ГР.СОФИЯ",1631,"Чужди езици - ЯЕ интензивно, АЕ",профилирана,1,1,0,0
2204018,"18 Средно училище ""Уилям Гладстон"", ГР.СОФИЯ",1637,"Чужди езици - АрЕ интензивно, АЕ",профилирана,1,3,0,0
2204018,"18 Средно училище ""Уилям Гладстон"", ГР.СОФИЯ",1642,"Чужди езици - КитЕ интензивно, АЕ",профилирана,1,3,0,0
2204018,"18 Средно училище ""Уилям Гладстон"", ГР.СОФИЯ",1647,"Чужди езици - КорЕ интензивно, АЕ",профилирана,1,2,0,0
2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ"", ГР.СОФИЯ",1307,Чужди езици - ИЕ интензивно  АЕ,профилирана,1,2,0,0
2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ"", ГР.СОФИЯ",1308,"Природни науки - ИЕ интензивно, АЕ",профилирана,1,1,0,0
2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ"", ГР.СОФИЯ",2602,"Икономическо развитие - АЕ интензивно, НЕ",профилирана,1,2,0,0
2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",2771,Чужди езици - АЕ интензивно НЕ,профилирана,1,0,2,2
2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",2773,Чужди езици - АЕ интензивно  ИЕ,профилирана,1,0,1,1
2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ  ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ"", ГР.СОФИЯ",2775,Чужди езици - АЕ интензивно  ФЕ,профилирана,1,0,0,0
